test_example,stderr,stdout,retcode,others
['./test/functional/72_hanoi.sy'],,masked,0,[]
['./test/functional/40_unary_op.sy'],,masked,0,[]
['./test/functional/19_mod.sy'],,masked,0,[]
['./test/functional/94_nested_loops.sy'],,masked,0,[]
['./test/functional/16_mulc.sy'],,masked,0,[]
['./test/functional/59_sort_test5.sy'],,masked,0,[]
['./test/functional/68_brainfk.sy'],,masked,0,[]
['./test/functional/97_matrix_sub.sy'],,masked,0,[]
['./test/functional/27_while_test2.sy'],,masked,0,[]
['./test/functional/12_addc.sy'],,masked,0,[]
['./test/functional/82_long_func.sy'],,masked,0,[]
['./test/functional/77_substr.sy'],,masked,0,[]
['./test/functional/38_op_priority4.sy'],,masked,0,[]
['./test/functional/24_if_test5.sy'],,masked,0,[]
['./test/functional/17_div.sy'],,masked,0,[]
['./test/functional/89_many_globals.sy'],,masked,0,[]
['./test/functional/10_var_defn_func.sy'],,masked,0,[]
['./test/functional/63_big_int_mul.sy'],,masked,0,[]
['./test/functional/90_many_locals.sy'],,masked,0,[]
['./test/functional/13_sub2.sy'],,masked,0,[]
['./test/functional/15_mul.sy'],,masked,0,[]
['./test/functional/78_side_effect.sy'],,masked,0,[]
['./test/functional/61_sort_test7.sy'],,masked,0,[]
['./test/functional/26_while_test1.sy'],,masked,0,[]
['./test/functional/28_while_test3.sy'],,masked,0,[]
['./test/functional/36_op_priority2.sy'],,masked,0,[]
['./test/functional/44_stmt_expr.sy'],,masked,0,[]
['./test/functional/99_matrix_tran.sy'],,masked,0,[]
['./test/functional/47_hex_oct_add.sy'],,masked,0,[]
['./test/functional/84_long_array2.sy'],,masked,,['其他异常']
['./test/functional/03_arr_defn2.sy'],,masked,0,[]
['./test/functional/69_expr_eval.sy'],,masked,0,[]
['./test/functional/32_while_if_test2.sy'],,masked,0,[]
['./test/functional/39_op_priority5.sy'],,masked,0,[]
['./test/functional/35_op_priority1.sy'],,masked,0,[]
['./test/functional/42_empty_stmt.sy'],,masked,0,[]
['./test/functional/22_if_test3.sy'],,masked,0,[]
['./test/functional/86_long_code2.sy'],,masked,139,[]
['./test/functional/92_register_alloc.sy'],,masked,0,[]
['./test/functional/08_const_array_defn.sy'],,masked,0,[]
['./test/functional/00_main.sy'],,masked,0,[]
['./test/functional/45_comment1.sy'],,masked,0,[]
['./test/functional/95_float.sy'],,masked,0,[]
['./test/functional/20_rem.sy'],,masked,0,[]
['./test/functional/60_sort_test6.sy'],,masked,0,[]
['./test/functional/46_hex_defn.sy'],,masked,0,[]
['./test/functional/21_if_test2.sy'],,masked,0,[]
